id,item_id,category,item_name,item_condition,price,hot,bid_count,bidder,bid,pic
51,11955545,网络产品,"小米（MI）小米盒子3 高清网络电视机顶盒 4K电视 H.265 标配蓝牙语音体感遥控器 体感游戏 多种投屏协议",使用过,319,6288次,12,****8657,219.00,http://img14.360buyimg.com/n1/jfs/t2422/224/1051479593/105006/df6f82a7/5641ede1Nb80f7fc4.jpg
52,11955757,电脑配件,"技嘉（GIGABYTE）Z170X-Gaming 6主板 (Intel Z170/LGA 1151)",维修过,1799,1695次,13,****b1be,961.00,http://img14.360buyimg.com/n1/jfs/t2353/335/2140343977/390271/165df871/56a06d06N8c3833fb.jpg
53,11955867,手机通讯,"Apple iPhone 5s (A1530) 16GB 金色 移动联通4G手机",使用过,2398,10942次,41,****5814,1902.00,http://img14.360buyimg.com/n1/jfs/t2365/168/1185439740/249828/68820aeb/564c5465N82d8e969.jpg
54,11955419,手机配件,"小米（MI）小米新款移动电源/充电宝10000mAh 金色",使用过,79,1012次,13,****水鱼猪猪,62.00,http://img14.360buyimg.com/n1/jfs/t1018/251/996982252/76881/75da3b5b/5563cb48Ncaa4264b.jpg
55,11955687,手机通讯,"Apple iPhone 5s (A1530) 16GB 银色 移动联通4G手机",使用过,2298,8414次,103,****v,1952.00,http://img14.360buyimg.com/n1/jfs/t2089/323/945086915/93691/631f780c/56374c5dN5e226ee6.jpg
56,11955721,五花八门,"爱国者（aigo）R6611录音笔专业微型 高清远距降噪 MP3播放器 学习/会议适用 4G 绿色",维修过,Null,6741次,17,****6678,58.00,http://img14.360buyimg.com/n1/jfs/t2002/114/1012024511/164449/19e63dc3/564be159N67217e0a.jpg
57,11956015,时尚影音,"Beats Powerbeats2 Wireless 耳机 - 黑色  双动力无线版 运动耳机 蓝牙无线 带麦",使用过,Null,4727次,18,****bfd1,641.00,http://img14.360buyimg.com/n1/jfs/t1840/18/2005594109/35991/98a77221/56935d5bN7bea827c.jpg
58,11955264,电脑配件,"惠普（HP）RM455 18速 并口 DVD光驱（黑色）",使用过,Null,2451次,30,****2201,56.00,http://img14.360buyimg.com/n1/128/c63ee068-a3ad-47b0-90dd-fad5a36483bd.jpg
59,11955440,手机通讯,"无任何附件仅手机，请慎拍 商品边框稍有磨损Apple iPhone 6s (A1700) 64G 玫瑰金色 移动联通电信4G手机",维修过,5588,13105次,67,****坪山科技,4459.00,http://img14.360buyimg.com/n1/jfs/t2461/281/145335373/97081/8af73dbf/55f0e80aN532efcae.jpg
60,11954922,五花八门,"【京东自营品质保证】小米（MI） 定制版Ninebot 九号平衡车 智能代步电动体感车（白）",使用过,2199,1236次,55,****home,1499.00,http://img14.360buyimg.com/n1/jfs/t2041/153/1100191995/104976/23187fa7/5641d8c3Ne436ed89.jpg
61,11955263,钟表,"天梭(TISSOT)手表 力洛克系列机械情侣表男表T41.1.483.53",维修过,3299,4164次,56,****7420,1834.00,http://img14.360buyimg.com/n1/g15/M0A/1C/09/rBEhWlKqx2gIAAAAAAG1URDeGS4AAGuygD0f38AAbVp184.jpg
62,11955901,五花八门,"【黑色】小米（MI）小米智能手环 光感版 心率手环",使用过,99,1068次,19,****1gpf,73.00,http://img14.360buyimg.com/n1/jfs/t2131/35/1058637457/238001/249d2014/5641d81fN083d591a.jpg
63,11956210,手机通讯,"Apple iPhone 6s (A1700) 16G 金色 移动联通电信4G手机",维修过,4788,9944次,67,****发展科技,3950.00,http://img14.360buyimg.com/n1/jfs/t2113/203/128429424/95656/be32c7d2/55f0e7b5Nf1ed773f.jpg
64,11956057,五花八门,"小米（MI）小米智能手环 防水智能腕带睡眠计步器 （全新白色LED提示灯版）",使用过,69,1082次,33,****2012,34.00,http://img14.360buyimg.com/n1/jfs/t2299/21/364641074/53555/214d0aef/56012bd0Nfb6122e9.jpg
65,11955100,手机通讯,"Apple iPhone 5s (A1530) 16GB 金色 移动联通4G手机",使用过,2398,10532次,57,****文,1881.00,http://img14.360buyimg.com/n1/jfs/t2365/168/1185439740/249828/68820aeb/564c5465N82d8e969.jpg
66,11957008,手机配件,小米（MI）移动电源20000mAh,维修过,159,319次,14,****楼上傻X,103.00,http://img14.360buyimg.com/n1/jfs/t2461/346/1526818204/97765/8d5f4efb/56664140Naf327ece.jpg
